Banco,Contrato,Origen,Tipo archivo recaudo,periodo,Mes,Total recaudo,Total transacciones
american express us consumer,impuesto predial,p,pagos web,2023,9,21566935,4
american express us consumer,impuesto predial,p,pagos web,2023,10,15724256,7
american express us consumer,impuesto predial,p,pagos web,2023,11,11048176,5
american express us consumer,industria y comercio,n,pagos web,2023,6,14351422,3
american express us consumer,industria y comercio,p,pagos web,2023,10,336232,1
american express us consumer,industria y comercio,p,pagos web,2023,11,871372,1
american gateway bank,impuesto predial,p,pagos web,2020,3,636496,1
amex - amex,impuesto predial,n,pagos web,2023,2,7787864,9
amex - amex,impuesto predial,n,pagos web,2023,8,6216313,2
amex - amex,impuesto predial,p,pagos web,2022,7,479788,1
amex - amex,impuesto predial,p,pagos web,2022,9,33250,1
amex - amex,impuesto predial,p,pagos web,2022,10,258240,2
amex - amex,impuesto predial,p,pagos web,2023,1,13095935,1
amex - amex,impuesto predial,p,pagos web,2023,2,1411703,1
amex - amex,impuesto predial,p,pagos web,2023,3,467084,2
amex - amex,impuesto predial,p,pagos web,2023,4,3465042,2
amex - amex,impuesto predial,p,pagos web,2023,10,1987197,1
amex - amex,industria y comercio,p,pagos web,2022,9,6148,1
amex canada globestar,impuesto predial,p,pagos web,2023,2,2954383,1
amex canada globestar,impuesto predial,p,pagos web,2023,3,655921,2
amex canada globestar,impuesto predial,p,pagos web,2023,9,1667165,1
amex canada globestar,industria y comercio,p,pagos web,2023,7,2192560,1
amex espana card globestar cha,impuesto predial,p,pagos web,2022,5,162556,1
amex espana card globestar cha,impuesto predial,p,pagos web,2022,6,486134,1
amex espana card globestar cha,impuesto predial,p,pagos web,2023,2,127942,1
aruba bank n.v.,impuesto predial,n,pagos web,2023,2,4610471,1
"aruba bank, n.v.",impuesto predial,p,pagos web,2023,2,2160266,1
asb bank,impuesto predial,p,pagos web,2023,3,1062864,1
asociacion gremial de instituc,facilidades,p,pagos web,2021,12,6415220,1
asociacion gremial de instituc,impuesto predial,p,pagos web,2020,11,1874808,3
asociacion gremial de instituc,impuesto predial,p,pagos web,2020,12,810365,2
asociacion gremial de instituc,impuesto predial,p,pagos web,2021,1,4620157,2
asociacion gremial de instituc,impuesto predial,p,pagos web,2021,2,5737077,10
asociacion gremial de instituc,impuesto predial,p,pagos web,2021,3,8979344,11
asociacion gremial de instituc,impuesto predial,p,pagos web,2021,4,804133,1
asociacion gremial de instituc,impuesto predial,p,pagos web,2021,5,3606200,5
asociacion gremial de instituc,impuesto predial,p,pagos web,2021,6,137139,1
asociacion gremial de instituc,impuesto predial,p,pagos web,2021,7,289931,1
asociacion gremial de instituc,impuesto predial,p,pagos web,2021,9,1225549,4
asociacion gremial de instituc,impuesto predial,p,pagos web,2021,10,451215,1
asociacion gremial de instituc,impuesto predial,p,pagos web,2021,12,1875215,6
asociacion gremial de instituc,impuesto predial,p,pagos web,2022,2,28038569,17
asociacion gremial de instituc,impuesto predial,p,pagos web,2022,3,16762742,12
asociacion gremial de instituc,industria y comercio,p,pagos web,2020,11,938353,1
asociacion gremial de instituc,industria y comercio,p,pagos web,2021,1,43398,1
asociacion gremial de instituc,industria y comercio,p,pagos web,2021,3,72000,1
asociacion gremial de instituc,industria y comercio,p,pagos web,2021,4,315100,2
asociacion gremial de instituc,industria y comercio,p,pagos web,2021,5,207025,3
asociacion gremial de instituc,industria y comercio,p,pagos web,2021,6,25300,1
asociacion gremial de instituc,industria y comercio,p,pagos web,2021,7,25300,1
asociacion gremial de instituc,industria y comercio,p,pagos web,2021,8,25300,1
asociacion gremial de instituc,industria y comercio,p,pagos web,2021,9,25300,1
asociacion gremial de instituc,industria y comercio,p,pagos web,2021,10,25300,1
asociacion gremial de instituc,industria y comercio,p,pagos web,2021,11,61300,2
asociacion gremial de instituc,industria y comercio,p,pagos web,2022,3,107704,1
australia and new zealand bank,impuesto predial,p,pagos web,2023,3,376851,1
av villas,circulacion y transito,a,pagos web,2020,7,29725,1
av villas,facilidades,p,pagos web,2020,6,129056,1
av villas,facilidades,p,pagos web,2020,7,14519515,7
av villas,facilidades,p,pagos web,2020,8,7603722,8
av villas,facilidades,p,pagos web,2020,9,17177072,11
av villas,facilidades,p,pagos web,2020,10,19628923,18
av villas,impuesto predial,a,pagos web,2020,1,722247,2
av villas,impuesto predial,a,pagos web,2020,2,1712338,5
av villas,impuesto predial,a,pagos web,2020,3,628288,1
av villas,impuesto predial,a,pagos web,2020,6,247981,2
av villas,impuesto predial,a,pagos web,2020,8,1503048,4
av villas,impuesto predial,a,pagos web,2020,9,217443,2
av villas,impuesto predial,p,pagos web,2020,1,24854200,19
av villas,impuesto predial,p,pagos web,2020,2,32351752,56
av villas,impuesto predial,p,pagos web,2020,3,36861269,42
av villas,impuesto predial,p,pagos web,2020,4,1134396,2
av villas,impuesto predial,p,pagos web,2020,5,21889603,16
av villas,impuesto predial,p,pagos web,2020,6,17529239,34
av villas,impuesto predial,p,pagos web,2020,7,5135031,8
av villas,impuesto predial,p,pagos web,2020,8,9830270,21
av villas,impuesto predial,p,pagos web,2020,9,4836661,19
av villas,impuesto predial,p,pagos web,2020,10,11830128,16
av villas,impuesto predial,p,pagos web,2020,11,3394239,6
av villas,industria y comercio,a,pagos web,2020,3,109349,1
av villas,industria y comercio,a,pagos web,2020,10,397670,1
av villas,industria y comercio,p,pagos web,2020,1,878553,4
av villas,industria y comercio,p,pagos web,2020,2,927098,4
av villas,industria y comercio,p,pagos web,2020,3,13702023,4
av villas,industria y comercio,p,pagos web,2020,6,734719,3
av villas,industria y comercio,p,pagos web,2020,7,2576070,2
av villas,industria y comercio,p,pagos web,2020,8,8645787,6
av villas,industria y comercio,p,pagos web,2020,9,34580291,11
av villas,industria y comercio,p,pagos web,2020,10,11764084,7
av villas,otros ingresos,p,pagos web,2020,9,150000,1
aval soluciones digitales s.a.,impuesto predial,n,pagos web,2023,9,63891,1
aval soluciones digitales s.a.,impuesto predial,p,pagos web,2022,2,25273,1
aval soluciones digitales s.a.,impuesto predial,p,pagos web,2022,6,86826,2
aval soluciones digitales s.a.,impuesto predial,p,pagos web,2023,2,256675,1
aval soluciones digitales s.a.,impuesto predial,p,pagos web,2023,3,286655,1
aval soluciones digitales s.a.,impuesto predial,p,pagos web,2023,5,1234,1
aval soluciones digitales s.a.,impuesto predial,p,pagos web,2023,8,22241,1
aval soluciones digitales s.a.,impuesto predial,p,pagos web,2023,12,2415,1
aval soluciones digitales s.a.,industria y comercio,p,pagos web,2023,8,57500,1
avvillas,alumbrado publico,presencial,pagos presencial,2022,3,37966,1
avvillas,alumbrado publico,presencial,pagos presencial,2022,4,3994753,4
avvillas,alumbrado publico,presencial,pagos presencial,2022,5,33477,1
avvillas,alumbrado publico,presencial,pagos presencial,2022,6,4090085,10
avvillas,alumbrado publico,presencial,pagos presencial,2022,7,3677153,1
avvillas,alumbrado publico,presencial,pagos presencial,2022,8,4956305,2
avvillas,alumbrado publico,presencial,pagos presencial,2022,9,37940,1
