Banco,Contrato,Origen,Tipo archivo recaudo,Cuenta
multibank inc.,impuesto predial,n,pagos web,1
"multibank, inc.",impuesto predial,p,pagos web,1
n26 gmbh,facilidades,p,pagos web,1
movii s.a.,industria y comercio,n,pagos web,1
baxter c.u.,impuesto predial,p,pagos web,1
barwa bank,impuesto predial,n,pagos web,1
n26 gmbh,servicios,n,pagos web,1
national australia bank limite,impuesto predial,a,pagos web,1
national bank of canada,impuesto predial,p,pagos web,1
national bank of dubai public,impuesto predial,p,pagos web,1
"barclays bank mocambique, s.a.",impuesto predial,p,pagos web,1
"national bank of kuwait, s.a.k",impuesto predial,p,pagos web,1
bbva,ingresos no tributarios,p,pagos web,1
movii s.a.,industria y comercio,a,pagos web,1
master - master,facilidades,p,pagos web,1
"metrobank, s.a.",impuesto predial,p,pagos web,1
mbank s.a.,impuesto predial,p,pagos web,1
bcsc,delineación urbana,n,pagos web,1
mccoy f.c.u.,impuesto predial,p,pagos web,1
merrick bank corporation,impuesto predial,p,pagos web,1
merrill lynch bank usa,impuesto predial,p,pagos web,1
bcsc,aprov.esp.pub,n,pagos web,1
bcsc,alumbrado publico,p,pagos web,1
metro c.u.,impuesto predial,n,pagos web,1
midflorida c.u.,impuesto predial,p,pagos web,1
bbva,servicios,n,pagos web,1
bcsc,alumbrado publico,n,pagos web,1
bbva colombia s.a,movilidad,n,pagos web,1
bbva colombia s.a,facilidades,a,pagos web,1
morgan stanley private bank na,impuesto predial,a,pagos web,1
bbva colombia s.a,alumbrado publico,n,pagos web,1
"bbva bancomer, s.a.",impuesto predial,n,pagos web,1
movii s.a.,facilidades,p,pagos web,1
movii s.a.,impuesto predial,n,pagos web,1
abu dhabi commercial bank,impuesto predial,n,pagos web,1
