Banco,Contrato,Origen,Hora,Tipo archivo recaudo,Cuenta
bancolombia,impuesto predial,p,11,pagos web,65382
bancolombia,impuesto predial,p,10,pagos web,63117
bancolombia,impuesto predial,p,15,pagos web,57573
bancolombia,impuesto predial,p,9,pagos web,55701
bancolombia,impuesto predial,p,14,pagos web,55545
bancolombia,impuesto predial,p,16,pagos web,55166
bancolombia,impuesto predial,p,12,pagos web,52575
bancolombia,impuesto predial,p,17,pagos web,48431
bancolombia,impuesto predial,p,13,pagos web,47508
bancolombia,impuesto predial,p,18,pagos web,41614
bancolombia,impuesto predial,p,8,pagos web,41370
bancolombia,impuesto predial,p,20,pagos web,38793
bancolombia,industria y comercio,presencial,11,pagos presencial,38672
bancolombia,impuesto predial,p,19,pagos web,38600
bancolombia,industria y comercio,presencial,15,pagos presencial,37764
bancolombia,industria y comercio,presencial,10,pagos presencial,37739
bancolombia,industria y comercio,presencial,14,pagos presencial,34881
bancolombia,impuesto predial,p,21,pagos web,32866
bancolombia,industria y comercio,p,15,pagos web,32447
bancolombia,industria y comercio,p,11,pagos web,31726
bancolombia,industria y comercio,presencial,16,pagos presencial,31211
bancolombia,industria y comercio,p,10,pagos web,30007
bancolombia,industria y comercio,p,14,pagos web,29588
bancolombia,impuesto predial,presencial,11,pagos presencial,29107
bancolombia,industria y comercio,p,16,pagos web,29086
bancolombia,industria y comercio,presencial,9,pagos presencial,28740
bancolombia,industria y comercio,presencial,12,pagos presencial,28694
bancolombia,impuesto predial,presencial,10,pagos presencial,28291
bancolombia,impuesto predial,presencial,15,pagos presencial,26827
bancolombia,industria y comercio,p,12,pagos web,25189
bancolombia,impuesto predial,presencial,14,pagos presencial,25056
bancolombia,industria y comercio,p,9,pagos web,24585
bancolombia,impuesto predial,presencial,12,pagos presencial,23349
bancolombia,industria y comercio,presencial,13,pagos presencial,23115
bancolombia,impuesto predial,p,7,pagos web,22727
bancolombia,impuesto predial,presencial,9,pagos presencial,21690
bancolombia,impuesto predial,presencial,16,pagos presencial,21680
bancolombia,industria y comercio,p,13,pagos web,19934
bancolombia,impuesto predial,p,22,pagos web,19847
bancolombia,industria y comercio,presencial,17,pagos presencial,19562
bancolombia,industria y comercio,p,17,pagos web,19238
bancolombia,impuesto predial,presencial,13,pagos presencial,18981
bancolombia,industria y comercio,p,8,pagos web,16820
davivienda,movilidad,presencial,11,pagos presencial,15870
davivienda,movilidad,presencial,10,pagos presencial,15292
bancolombia,impuesto predial,presencial,17,pagos presencial,15049
davivienda,movilidad,presencial,9,pagos presencial,14844
bancolombia,industria y comercio,presencial,8,pagos presencial,14014
davivienda,movilidad,presencial,8,pagos presencial,13892
bancolombia - botón bancolombi,impuesto predial,p,10,pagos web,13731
bancolombia - botón bancolombi,impuesto predial,p,11,pagos web,13485
davivienda,movilidad,presencial,16,pagos presencial,12680
davivienda,movilidad,presencial,12,pagos presencial,12663
bancolombia,impuesto predial,presencial,8,pagos presencial,12434
davivienda,movilidad,presencial,15,pagos presencial,12184
bancolombia - botón bancolombi,impuesto predial,p,9,pagos web,12058
bancolombia - botón bancolombi,impuesto predial,p,15,pagos web,11891
bancolombia - botón bancolombi,impuesto predial,p,16,pagos web,11507
davivienda,impuesto predial,presencial,10,pagos presencial,11475
bancolombia - botón bancolombi,impuesto predial,p,14,pagos web,11462
bancolombia,industria y comercio,p,18,pagos web,11438
davivienda,impuesto predial,presencial,11,pagos presencial,11353
bancolombia - botón bancolombi,impuesto predial,p,12,pagos web,10938
bancolombia - botón bancolombi,impuesto predial,p,13,pagos web,10693
bancolombia - botón bancolombi,impuesto predial,p,17,pagos web,10648
bancolombia,impuesto predial,presencial,18,pagos presencial,10577
davivienda,movilidad,presencial,14,pagos presencial,10553
davivienda,impuesto predial,presencial,15,pagos presencial,10412
bancolombia - botón bancolombi,impuesto predial,p,20,pagos web,10101
bancolombia,industria y comercio,presencial,18,pagos presencial,10017
bancolombia - botón bancolombi,impuesto predial,p,18,pagos web,9999
davivienda,impuesto predial,presencial,9,pagos presencial,9975
bancolombia - botón bancolombi,impuesto predial,p,19,pagos web,9845
davivienda,impuesto predial,presencial,14,pagos presencial,9689
bancolombia - botón bancolombi,impuesto predial,p,8,pagos web,9148
davivienda,movilidad,presencial,13,pagos presencial,8895
bancolombia,impuesto predial,p,23,pagos web,8648
bancolombia - botón bancolombi,impuesto predial,p,21,pagos web,8610
davivienda,impuesto predial,presencial,12,pagos presencial,8568
bancolombia,impuesto predial,p,6,pagos web,8124
davivienda,movilidad,presencial,7,pagos presencial,7794
bancolombia,industria y comercio,p,19,pagos web,7619
davivienda,impuesto predial,presencial,13,pagos presencial,7265
bancolombia,circulacion y transito,presencial,11,pagos presencial,7065
davivienda,impuesto predial,presencial,8,pagos presencial,7043
bancolombia,industria y comercio,p,7,pagos web,7002
bancolombia,circulacion y transito,presencial,10,pagos presencial,6823
bancolombia,industria y comercio,p,20,pagos web,6644
bancolombia,circulacion y transito,presencial,15,pagos presencial,6063
bancolombia s.a.,impuesto predial,p,10,pagos web,5964
bancolombia,circulacion y transito,presencial,14,pagos presencial,5851
bancolombia s.a.,impuesto predial,p,11,pagos web,5718
bancolombia,circulacion y transito,presencial,12,pagos presencial,5699
bancolombia,impuesto predial,presencial,19,pagos presencial,5536
bancolombia,industria y comercio,p,21,pagos web,5530
bancolombia,circulacion y transito,presencial,9,pagos presencial,5465
bancolombia - botón bancolombi,impuesto predial,p,22,pagos web,5427
davivienda,impuesto predial,presencial,16,pagos presencial,5417
bancolombia - botón bancolombi,impuesto predial,p,7,pagos web,5381
bancolombia s.a.,impuesto predial,p,9,pagos web,5325
banco davivienda,impuesto predial,p,11,pagos web,5017
banco davivienda,impuesto predial,p,10,pagos web,4939
bancolombia s.a.,impuesto predial,p,15,pagos web,4856
bancolombia,circulacion y transito,presencial,13,pagos presencial,4720
bancolombia s.a.,impuesto predial,p,16,pagos web,4708
bancolombia s.a.,impuesto predial,p,14,pagos web,4591
banco davivienda,impuesto predial,p,15,pagos web,4483
bancolombia,circulacion y transito,presencial,16,pagos presencial,4427
bancolombia,industria y comercio,presencial,19,pagos presencial,4413
banco davivienda,impuesto predial,p,14,pagos web,4395
banco davivienda,impuesto predial,p,16,pagos web,4383
bancolombia s.a.,impuesto predial,p,12,pagos web,4343
bancolombia s.a.,impuesto predial,p,17,pagos web,4289
banco davivienda,impuesto predial,p,9,pagos web,4276
banco davivienda,impuesto predial,p,12,pagos web,4205
bancolombia s.a.,impuesto predial,p,8,pagos web,4040
bancolombia,servicios,presencial,11,pagos presencial,4021
banco davivienda,impuesto predial,p,13,pagos web,3992
colpatria,industria y comercio,presencial,15,pagos presencial,3944
banco davivienda,impuesto predial,p,17,pagos web,3936
colpatria,industria y comercio,presencial,11,pagos presencial,3778
davivienda,industria y comercio,presencial,10,pagos presencial,3763
bancolombia s.a.,impuesto predial,p,13,pagos web,3752
bancolombia,industria y comercio,p,22,pagos web,3706
bancolombia,servicios,presencial,14,pagos presencial,3687
davivienda,industria y comercio,presencial,15,pagos presencial,3678
bancolombia,circulacion y transito,presencial,8,pagos presencial,3623
davivienda,industria y comercio,presencial,11,pagos presencial,3621
bancolombia,servicios,presencial,10,pagos presencial,3611
banco davivienda,impuesto predial,p,18,pagos web,3586
bancolombia s.a.,impuesto predial,p,20,pagos web,3537
davivienda,industria y comercio,presencial,14,pagos presencial,3493
colpatria,industria y comercio,presencial,16,pagos presencial,3490
bancolombia s.a.,impuesto predial,p,18,pagos web,3485
bancolombia,servicios,presencial,15,pagos presencial,3481
banco davivienda,impuesto predial,p,20,pagos web,3405
cotrafa,industria y comercio,presencial,11,pagos presencial,3329
banco davivienda,impuesto predial,p,19,pagos web,3329
cotrafa,industria y comercio,presencial,15,pagos presencial,3325
banco davivienda,impuesto predial,p,8,pagos web,3287
cotrafa,industria y comercio,presencial,10,pagos presencial,3272
davivienda,industria y comercio,presencial,9,pagos presencial,3259
colpatria,industria y comercio,presencial,10,pagos presencial,3257
bancolombia,impuesto predial,n,11,pagos web,3210
bancolombia s.a.,impuesto predial,p,19,pagos web,3200
davivienda,movilidad,presencial,17,pagos presencial,3144
bancolombia s.a.,impuesto predial,p,21,pagos web,3071
cotrafa,industria y comercio,presencial,14,pagos presencial,3062
bancolombia,impuesto predial,n,10,pagos web,3045
bancolombia,servicios,presencial,12,pagos presencial,3031
bogota_1,industria y comercio,presencial,15,pagos presencial,3005
bancolombia,impuesto predial,n,15,pagos web,2964
bogota_1,industria y comercio,presencial,14,pagos presencial,2924
bogota_1,industria y comercio,presencial,10,pagos presencial,2855
bancolombia,impuesto predial,n,14,pagos web,2833
bancolombia,servicios,presencial,9,pagos presencial,2807
colpatria,industria y comercio,presencial,12,pagos presencial,2805
banco davivienda,impuesto predial,p,21,pagos web,2788
colpatria,industria y comercio,presencial,14,pagos presencial,2694
cotrafa,industria y comercio,presencial,9,pagos presencial,2682
bancolombia,facilidades,p,11,pagos web,2677
bancolombia,impuesto predial,n,9,pagos web,2640
bancolombia,servicios,presencial,16,pagos presencial,2637
bancolombia,facilidades,p,15,pagos web,2634
bancolombia,facilidades,p,14,pagos web,2587
bancolombia,impuesto predial,p,0,pagos web,2566
bancolombia,impuesto predial,n,16,pagos web,2545
bancolombia,facilidades,p,10,pagos web,2540
bancolombia,facilidades,p,16,pagos web,2508
bancolombia,impuesto predial,n,12,pagos web,2497
bancolombia,impuesto predial,n,13,pagos web,2472
cotrafa,industria y comercio,presencial,16,pagos presencial,2451
bancolombia,impuesto predial,p,5,pagos web,2442
bancolombia,facilidades,p,12,pagos web,2372
bancolombia,impuesto predial,a,11,pagos web,2368
bancolombia,servicios,presencial,13,pagos presencial,2322
davivienda,industria y comercio,presencial,12,pagos presencial,2321
bancolombia,impuesto predial,a,10,pagos web,2315
banco davivienda,industria y comercio,p,15,pagos web,2313
bancolombia,impuesto predial,a,20,pagos web,2284
bancolombia,facilidades,p,13,pagos web,2275
bancolombia,impuesto predial,a,19,pagos web,2265
bogota_1,industria y comercio,presencial,9,pagos presencial,2240
bancolombia - botón bancolombi,impuesto predial,p,23,pagos web,2236
colpatria,industria y comercio,presencial,17,pagos presencial,2225
bogota_1,industria y comercio,presencial,11,pagos presencial,2209
bancolombia s.a.,impuesto predial,p,7,pagos web,2204
bancolombia,facilidades,p,9,pagos web,2192
colpatria,industria y comercio,presencial,13,pagos presencial,2181
occidente,circulacion y transito,presencial,11,pagos presencial,2150
bancolombia,impuesto predial,a,14,pagos web,2146
bancolombia,impuesto predial,n,17,pagos web,2137
bancolombia,impuesto predial,a,9,pagos web,2135
bancolombia,impuesto predial,a,13,pagos web,2119
bancolombia,impuesto predial,a,16,pagos web,2111
bancolombia,préstamos hipotecarios,presencial,10,pagos presencial,2111
banco davivienda,industria y comercio,p,14,pagos web,2110
bancolombia,impuesto predial,a,17,pagos web,2105
occidente,circulacion y transito,presencial,10,pagos presencial,2104
davivienda,industria y comercio,presencial,13,pagos presencial,2093
banco davivienda,industria y comercio,p,16,pagos web,2093
bancolombia,facilidades,p,17,pagos web,2083
bancolombia,impuesto predial,a,12,pagos web,2074
bancolombia,impuesto predial,a,15,pagos web,2068
colpatria,industria y comercio,presencial,9,pagos presencial,2056
bancolombia,impuesto predial,a,18,pagos web,2054
banco davivienda,industria y comercio,p,11,pagos web,2033
bancolombia,impuesto predial,n,8,pagos web,2033
davivienda,impuesto predial,presencial,7,pagos presencial,2033
bancolombia - botón bancolombi,impuesto predial,p,6,pagos web,2023
bancolombia,impuesto predial,a,21,pagos web,2004
cotrafa,industria y comercio,presencial,12,pagos presencial,1979
bancolombia,préstamos hipotecarios,presencial,11,pagos presencial,1946
bancolombia,retencion ica,p,15,pagos web,1926
bancolombia,impuesto predial,n,18,pagos web,1921
bancolombia,facilidades,p,18,pagos web,1919
bancolombia,impuesto predial,n,20,pagos web,1897
bancolombia s.a.,impuesto predial,p,22,pagos web,1891
bancolombia,industria y comercio,p,6,pagos web,1890
banco davivienda,industria y comercio,p,12,pagos web,1889
banco davivienda,impuesto predial,p,7,pagos web,1881
bancolombia,impuesto predial,n,19,pagos web,1860
banco bbva colombia s.a.,impuesto predial,p,11,pagos web,1842
bancolombia,alumbrado publico,presencial,11,pagos presencial,1840
banco davivienda,industria y comercio,p,10,pagos web,1833
bancolombia,retencion ica,p,14,pagos web,1800
bancolombia,multas codigo de policia,presencial,15,pagos presencial,1799
banco bbva colombia s.a.,impuesto predial,p,10,pagos web,1792
occidente,industria y comercio,presencial,14,pagos presencial,1781
occidente,industria y comercio,presencial,15,pagos presencial,1767
occidente,circulacion y transito,presencial,15,pagos presencial,1747
bancolombia,industria y comercio,p,23,pagos web,1738
bancolombia,impuesto predial,presencial,7,pagos presencial,1737
bancolombia,alumbrado publico,presencial,10,pagos presencial,1736
bancolombia,facilidades,p,20,pagos web,1735
banco davivienda,impuesto predial,p,22,pagos web,1728
bancolombia,facilidades,p,19,pagos web,1723
bancolombia,préstamos hipotecarios,presencial,14,pagos presencial,1721
cotrafa,industria y comercio,presencial,8,pagos presencial,1703
bancolombia,multas codigo de policia,presencial,14,pagos presencial,1703
bancolombia,impuesto predial,a,8,pagos web,1692
bancolombia,industria y comercio,n,15,pagos web,1684
occidente,industria y comercio,presencial,10,pagos presencial,1672
bancolombia,facilidades,p,8,pagos web,1652
bancolombia,facilidades,p,21,pagos web,1650
banco bbva colombia s.a.,impuesto predial,p,16,pagos web,1620
occidente,circulacion y transito,presencial,14,pagos presencial,1616
occidente,circulacion y transito,presencial,9,pagos presencial,1613
davivienda,industria y comercio,presencial,8,pagos presencial,1608
bancolombia,impuesto predial,n,21,pagos web,1604
bancolombia,industria y comercio,n,14,pagos web,1602
bancolombia,préstamos hipotecarios,presencial,15,pagos presencial,1588
bancolombia,retencion ica,p,16,pagos web,1583
bancolombia,industria y comercio,n,11,pagos web,1582
banco bbva colombia s.a.,impuesto predial,p,12,pagos web,1571
banco davivienda,industria y comercio,p,9,pagos web,1565
bancolombia,impuesto predial,presencial,20,pagos presencial,1547
bancolombia,multas codigo de policia,presencial,11,pagos presencial,1533
banco bbva colombia s.a.,impuesto predial,p,9,pagos web,1511
banco bbva colombia s.a.,impuesto predial,p,14,pagos web,1510
occidente,industria y comercio,presencial,11,pagos presencial,1504
bancolombia,industria y comercio,n,10,pagos web,1503
bogota_1,industria y comercio,presencial,8,pagos presencial,1498
bancolombia,préstamos hipotecarios,presencial,9,pagos presencial,1496
bancolombia,alumbrado publico,presencial,15,pagos presencial,1466
banco bbva colombia s.a.,impuesto predial,p,15,pagos web,1462
bancolombia,alumbrado publico,presencial,14,pagos presencial,1458
bancolombia,ingresos no tributarios,presencial,10,pagos presencial,1447
bancolombia,ingresos no tributarios,presencial,11,pagos presencial,1438
banco bbva colombia s.a.,impuesto predial,p,17,pagos web,1431
banco davivienda,industria y comercio,p,17,pagos web,1428
davivienda,circulacion y transito,presencial,11,pagos presencial,1427
bancolombia,préstamos hipotecarios,presencial,12,pagos presencial,1426
bancolombia,alumbrado publico,presencial,9,pagos presencial,1421
bancolombia,industria y comercio,presencial,20,pagos presencial,1396
banco davivienda,industria y comercio,p,13,pagos web,1388
bancolombia,industria y comercio,n,16,pagos web,1386
banco bbva colombia s.a.,impuesto predial,p,13,pagos web,1383
scotiabank colpatria,impuesto predial,p,10,pagos web,1374
bogota_1,impuesto predial,presencial,10,pagos presencial,1374
occidente,industria y comercio,presencial,9,pagos presencial,1368
banco de bogota,impuesto predial,p,10,pagos web,1367
scotiabank colpatria,impuesto predial,p,11,pagos web,1360
bancolombia,servicios,presencial,8,pagos presencial,1351
cotrafa,industria y comercio,presencial,13,pagos presencial,1336
banco de bogota,impuesto predial,p,11,pagos web,1331
davivienda,circulacion y transito,presencial,10,pagos presencial,1319
bancolombia,ingresos no tributarios,presencial,14,pagos presencial,1316
bogota_1,impuesto predial,presencial,14,pagos presencial,1309
bancolombia,préstamos hipotecarios,presencial,16,pagos presencial,1293
bancolombia,ingresos no tributarios,presencial,9,pagos presencial,1292
bancolombia,circulacion y transito,presencial,17,pagos presencial,1285
confiar,industria y comercio,presencial,14,pagos presencial,1283
bancolombia,impuesto predial,a,22,pagos web,1261
bancolombia,multas codigo de policia,presencial,16,pagos presencial,1256
popular,circulacion y transito,presencial,11,pagos presencial,1253
bancolombia,industria y comercio,n,9,pagos web,1252
bancolombia,retencion ica,p,11,pagos web,1250
bancolombia,industria y comercio,n,12,pagos web,1248
confiar,industria y comercio,presencial,15,pagos presencial,1248
occidente,circulacion y transito,presencial,8,pagos presencial,1245
bancolombia,ingresos no tributarios,presencial,15,pagos presencial,1241
banco bbva colombia s.a.,impuesto predial,p,18,pagos web,1237
bancolombia,préstamos hipotecarios,presencial,13,pagos presencial,1235
scotiabank colpatria,impuesto predial,p,9,pagos web,1230
bancolombia,alumbrado publico,presencial,12,pagos presencial,1228
banco de bogota,impuesto predial,p,15,pagos web,1219
bancolombia,multas codigo de policia,presencial,10,pagos presencial,1217
popular,circulacion y transito,presencial,10,pagos presencial,1208
confiar,industria y comercio,presencial,10,pagos presencial,1192
banco bbva colombia s.a.,impuesto predial,p,20,pagos web,1190
banco de bogota,impuesto predial,p,14,pagos web,1186
bogota_1,impuesto predial,presencial,15,pagos presencial,1186
scotiabank colpatria,impuesto predial,p,14,pagos web,1185
banco bbva colombia s.a.,impuesto predial,p,19,pagos web,1180
banco de bogota,impuesto predial,p,9,pagos web,1179
bancolombia,impuesto predial,n,7,pagos web,1177
scotiabank colpatria,impuesto predial,p,15,pagos web,1174
bogota_1,impuesto predial,presencial,9,pagos presencial,1169
banco de bogota,impuesto predial,p,16,pagos web,1160
davivienda,circulacion y transito,presencial,14,pagos presencial,1157
davivienda,circulacion y transito,presencial,15,pagos presencial,1151
bancolombia,delineación urbana,presencial,11,pagos presencial,1146
banco bbva colombia s.a.,impuesto predial,p,8,pagos web,1140
davivienda,industria y comercio,presencial,16,pagos presencial,1136
bancolombia,rentas contractuales,presencial,11,pagos presencial,1135
banco de occidente,industria y comercio,p,15,pagos web,1124
popular,circulacion y transito,presencial,15,pagos presencial,1120
banco bbva colombia s.a.,impuesto predial,p,21,pagos web,1115
bancolombia,impuesto predial,a,7,pagos web,1108
bancolombia,impuesto predial,n,22,pagos web,1104
bancolombia,facilidades,p,22,pagos web,1098
bancolombia - botón bancolombi,industria y comercio,p,11,pagos web,1096
bancolombia,industria y comercio,presencial,7,pagos presencial,1093
scotiabank colpatria,impuesto predial,p,16,pagos web,1088
bancolombia,delineación urbana,presencial,10,pagos presencial,1081
scotiabank colpatria,impuesto predial,p,12,pagos web,1080
bancolombia,retencion ica,p,10,pagos web,1080
confiar,industria y comercio,presencial,9,pagos presencial,1078
bancolombia,rentas contractuales,presencial,14,pagos presencial,1072
bancolombia,rentas contractuales,presencial,10,pagos presencial,1070
popular,circulacion y transito,presencial,14,pagos presencial,1070
banco de bogota,impuesto predial,p,12,pagos web,1062
confiar,industria y comercio,presencial,11,pagos presencial,1060
scotiabank colpatria,impuesto predial,p,17,pagos web,1054
bancolombia - botón bancolombi,industria y comercio,p,10,pagos web,1053
banco de occidente,industria y comercio,p,14,pagos web,1052
bancolombia,industria y comercio,n,13,pagos web,1050
bancolombia - botón bancolombi,industria y comercio,p,15,pagos web,1046
bancolombia,alumbrado publico,presencial,16,pagos presencial,1041
banco davivienda,industria y comercio,p,8,pagos web,1039
popular,circulacion y transito,presencial,9,pagos presencial,1039
bancolombia,rentas contractuales,presencial,15,pagos presencial,1028
nequi,impuesto predial,p,12,pagos web,1026
scotiabank colpatria,impuesto predial,p,8,pagos web,1000
scotiabank colpatria,impuesto predial,p,13,pagos web,999
bancolombia,impuesto predial,p,4,pagos web,994
colpatria,industria y comercio,presencial,18,pagos presencial,993
nequi,impuesto predial,p,11,pagos web,987
banco de occidente,industria y comercio,p,11,pagos web,986
davivienda,circulacion y transito,presencial,9,pagos presencial,984
bancolombia,impuesto predial,p,1,pagos web,981
bancolombia,delineación urbana,presencial,15,pagos presencial,971
banco de occidente,industria y comercio,p,10,pagos web,971
bancolombia,alumbrado publico,presencial,13,pagos presencial,967
nequi,impuesto predial,p,10,pagos web,966
bogota_1,impuesto predial,presencial,11,pagos presencial,965
bancolombia,multas codigo de policia,presencial,9,pagos presencial,959
citibank,impuesto predial,p,10,pagos web,959
nequi,impuesto predial,p,13,pagos web,957
nequi,impuesto predial,p,14,pagos web,952
occidente,circulacion y transito,presencial,12,pagos presencial,944
nequi,impuesto predial,p,16,pagos web,938
bancolombia - botón bancolombi,industria y comercio,p,12,pagos web,937
davivienda,impuesto predial,presencial,17,pagos presencial,933
nequi,impuesto predial,p,15,pagos web,931
scotiabank colpatria,impuesto predial,p,18,pagos web,929
nequi,impuesto predial,p,19,pagos web,926
citibank,impuesto predial,p,11,pagos web,920
bancolombia,delineación urbana,presencial,14,pagos presencial,920
banco de bogota,impuesto predial,p,13,pagos web,920
banco caja social,impuesto predial,p,10,pagos web,920
banco de bogota,industria y comercio,p,15,pagos web,920
banco de bogota,impuesto predial,p,17,pagos web,920
bancolombia,retencion ica,p,12,pagos web,917
banco caja social,impuesto predial,p,11,pagos web,915
bancolombia,ingresos no tributarios,presencial,12,pagos presencial,912
citibank,impuesto predial,p,9,pagos web,911
bancolombia - botón bancolombi,industria y comercio,p,14,pagos web,907
bogota_1,impuesto predial,presencial,8,pagos presencial,900
bancolombia,retencion ica,p,17,pagos web,893
bancolombia,facilidades,p,7,pagos web,892
bancolombia - botón bancolombi,impuesto predial,a,19,pagos web,889
bancolombia,delineación urbana,presencial,9,pagos presencial,887
banco bbva colombia s.a.,industria y comercio,p,15,pagos web,885
nequi,impuesto predial,p,18,pagos web,884
bancolombia - botón bancolombi,industria y comercio,p,16,pagos web,884
banco bbva colombia s.a.,industria y comercio,p,16,pagos web,882
banco de bogota,impuesto predial,p,8,pagos web,875
bancolombia,ingresos no tributarios,presencial,16,pagos presencial,874
banco de bogota,industria y comercio,p,14,pagos web,868
nequi,impuesto predial,p,20,pagos web,862
bancolombia,industria y comercio,n,17,pagos web,860
bancolombia - botón bancolombi,impuesto predial,a,10,pagos web,860
bancolombia - botón bancolombi,industria y comercio,p,9,pagos web,859
banco davivienda,industria y comercio,p,18,pagos web,859
bancolombia - botón bancolombi,impuesto predial,a,20,pagos web,859
citibank,impuesto predial,p,15,pagos web,853
nequi,impuesto predial,p,17,pagos web,852
banco de bogota,industria y comercio,p,11,pagos web,850
banco de occidente,impuesto predial,p,10,pagos web,843
confiar,impuesto predial,presencial,10,pagos presencial,835
bancolombia - botón bancolombi,industria y comercio,p,13,pagos web,832
banco de occidente,impuesto predial,p,11,pagos web,832
scotiabank colpatria,impuesto predial,p,20,pagos web,827
banco davivienda,impuesto predial,p,23,pagos web,825
bancolombia,préstamos hipotecarios,presencial,8,pagos presencial,824
bancolombia,rentas contractuales,presencial,9,pagos presencial,821
confiar,impuesto predial,presencial,14,pagos presencial,818
bancolombia - botón bancolombi,impuesto predial,a,11,pagos web,817
banco de occidente,industria y comercio,p,16,pagos web,813
banco caja social,impuesto predial,p,15,pagos web,813
banco bbva colombia s.a.,industria y comercio,p,11,pagos web,812
banco de bogota,industria y comercio,p,16,pagos web,808
banco de occidente,industria y comercio,p,9,pagos web,801
banco de occidente,impuesto predial,p,15,pagos web,800
nequi,impuesto predial,p,9,pagos web,799
banco de occidente,impuesto predial,p,14,pagos web,796
scotiabank colpatria,impuesto predial,p,19,pagos web,793
banco caja social,impuesto predial,p,14,pagos web,786
banco bbva colombia s.a.,industria y comercio,p,14,pagos web,781
banco caja social,impuesto predial,p,16,pagos web,781
colpatria,industria y comercio,presencial,8,pagos presencial,779
bancolombia,industria y comercio,n,8,pagos web,779
bancolombia s.a.,industria y comercio,p,11,pagos web,776
bancolombia,retencion ica,p,9,pagos web,774
nequi,impuesto predial,p,21,pagos web,774
confiar,impuesto predial,presencial,15,pagos presencial,771
scotiabank colpatria,impuesto predial,p,21,pagos web,771
bancolombia,multas codigo de policia,presencial,12,pagos presencial,771
bancolombia,retencion ica,p,13,pagos web,766
bancolombia s.a.,impuesto predial,p,6,pagos web,765
occidente,industria y comercio,presencial,8,pagos presencial,761
bancolombia,préstamos hipotecarios,presencial,17,pagos presencial,758
banco de bogota,industria y comercio,p,10,pagos web,753
bancolombia s.a.,impuesto predial,p,23,pagos web,751
citibank,impuesto predial,p,14,pagos web,750
citibank,impuesto predial,p,16,pagos web,749
bancolombia - botón bancolombi,impuesto predial,a,18,pagos web,749
banco caja social,impuesto predial,p,12,pagos web,749
bancolombia - botón bancolombi,industria y comercio,p,17,pagos web,747
bancolombia,industria y comercio,a,11,pagos web,744
banco de occidente,industria y comercio,p,12,pagos web,740
confiar,industria y comercio,presencial,8,pagos presencial,740
bancolombia - botón bancolombi,impuesto predial,a,21,pagos web,736
banco de bogota,impuesto predial,p,18,pagos web,734
bancolombia - botón bancolombi,impuesto predial,a,17,pagos web,733
citibank,impuesto predial,p,12,pagos web,733
bancolombia - botón bancolombi,impuesto predial,n,10,pagos web,730
bancolombia - botón bancolombi,impuesto predial,a,14,pagos web,729
davivienda,circulacion y transito,presencial,12,pagos presencial,726
banco bbva colombia s.a.,industria y comercio,p,10,pagos web,724
bancolombia - botón bancolombi,impuesto predial,a,13,pagos web,724
bancolombia,rentas contractuales,presencial,12,pagos presencial,722
confiar,impuesto predial,presencial,9,pagos presencial,722
bancolombia,industria y comercio,a,10,pagos web,721
bancolombia s.a.,industria y comercio,p,10,pagos web,719
banco davivienda,impuesto predial,p,6,pagos web,715
bancolombia - botón bancolombi,impuesto predial,p,5,pagos web,714
bancolombia - botón bancolombi,impuesto predial,a,15,pagos web,710
bancolombia,circulacion y transito,p,11,pagos web,707
banco caja social,impuesto predial,p,9,pagos web,706
confiar,impuesto predial,presencial,11,pagos presencial,703
bogota_1,circulacion y transito,presencial,11,pagos presencial,702
bancolombia,alumbrado publico,presencial,8,pagos presencial,697
bancolombia,ingresos no tributarios,presencial,13,pagos presencial,696
banco bbva colombia s.a.,impuesto predial,p,22,pagos web,695
citibank,impuesto predial,p,17,pagos web,693
bancolombia s.a.,industria y comercio,p,15,pagos web,692
banco caja social,impuesto predial,p,17,pagos web,692
banco de bogota,industria y comercio,p,12,pagos web,691
bancolombia,alumbrado publico,presencial,17,pagos presencial,689
bancolombia - botón bancolombi,impuesto predial,a,12,pagos web,687
bancolombia - botón bancolombi,impuesto predial,n,11,pagos web,687
bancolombia - botón bancolombi,impuesto predial,n,15,pagos web,686
bogota_1,circulacion y transito,presencial,15,pagos presencial,685
banco de occidente,impuesto predial,p,12,pagos web,683
banco caja social,impuesto predial,p,13,pagos web,682
bancolombia,otros ingresos,presencial,11,pagos presencial,681
bancolombia,delineación urbana,presencial,12,pagos presencial,680
banco bbva colombia s.a.,industria y comercio,p,12,pagos web,679
bancolombia - botón bancolombi,impuesto predial,a,9,pagos web,679
bancolombia - botón bancolombi,impuesto predial,n,9,pagos web,678
citibank,impuesto predial,p,13,pagos web,677
bancolombia,ingresos no tributarios,presencial,8,pagos presencial,675
banco de occidente,impuesto predial,p,9,pagos web,673
bancolombia,circulacion y transito,p,15,pagos web,672
banco de bogota,impuesto predial,p,20,pagos web,672
davivienda,circulacion y transito,presencial,13,pagos presencial,672
banco de bogota,impuesto predial,p,19,pagos web,669
bancolombia s.a.,industria y comercio,p,16,pagos web,664
bancolombia,industria y comercio,a,12,pagos web,664
bogota_1,publicidad exterior visual,presencial,9,pagos presencial,657
citibank,impuesto predial,p,18,pagos web,656
bancolombia - botón bancolombi,impuesto predial,n,14,pagos web,656
bancolombia s.a.,industria y comercio,p,14,pagos web,655
banco bbva colombia s.a.,impuesto predial,p,7,pagos web,652
banco caja social,impuesto predial,p,18,pagos web,649
