contrato;tipo_archivo_recaudo;periodo;mes;total_recaudo;total_transacciones;periodo_mes
movilidad;presencial;2020;8;15809673585;49878;2020-8-1
multas codigo de policia;presencial;2020;8;39932864;148;2020-8-1
otros ingresos;presencial;2020;8;1,53892E+11;255;2020-8-1
otros ingresos;virtual;2020;8;2844278;14;2020-8-1
publicidad exterior visual;presencial;2020;8;123570916;260;2020-8-1
recursos fonset;presencial;2020;8;56031000;2;2020-8-1
recursos fonset;virtual;2020;8;5486663566;68;2020-8-1
rendimientos financieros y recursos no ejecutados;presencial;2020;8;2460005775;56;2020-8-1
rendimientos financieros y recursos no ejecutados;virtual;2020;8;3427597101;119;2020-8-1
rentas contractuales;presencial;2020;8;28758106;22;2020-8-1
rentas contractuales;virtual;2020;8;3651856269;25;2020-8-1
retencion ica;virtual;2020;8;14388377;13;2020-8-1
servicios;presencial;2020;8;1093238;69;2020-8-1
servicios;virtual;2020;8;33200;4;2020-8-1
sobretasa a la gasolina;presencial;2020;8;6529629000;8;2020-8-1
transferencias;presencial;2020;8;8993796449;4;2020-8-1
transferencias;virtual;2020;8;2902799674;38;2020-8-1
alumbrado publico;presencial;2020;9;6009007543;546;2020-9-1
circulacion y transito;presencial;2020;9;1841772910;1623;2020-9-1
circulacion y transito;virtual;2020;9;27621950;189;2020-9-1
cuotas partes jubilatorias;presencial;2020;9;342887006;56;2020-9-1
deguello de ganado;virtual;2020;9;284368500;2;2020-9-1
delineacion urbana;presencial;2020;9;583772942;175;2020-9-1
delineacion urbana;virtual;2020;9;894321253;35;2020-9-1
estampilla procultura;presencial;2020;9;12049141;2;2020-9-1
estampilla procultura;virtual;2020;9;145260442;10;2020-9-1
impuesto predial;presencial;2020;9;56342651258;125127;2020-9-1
impuesto predial;virtual;2020;9;26464741259;23604;2020-9-1
impuesto telefonico;presencial;2020;9;1947814366;35;2020-9-1
impuesto telefonico;virtual;2020;9;11552308;52;2020-9-1
industria y comercio;presencial;2020;9;65587640505;24248;2020-9-1
industria y comercio;virtual;2020;9;28512525757;16003;2020-9-1
ingresos no tributarios;presencial;2020;9;2050014759;377;2020-9-1
ingresos no tributarios;virtual;2020;9;12569890;31;2020-9-1
movilidad;presencial;2020;9;16260606592;51614;2020-9-1
multas codigo de policia;presencial;2020;9;140608610;579;2020-9-1
otros ingresos;presencial;2020;9;1377740727;790;2020-9-1
