contrato;tipo_archivo_recaudo;periodo;mes;total_recaudo;total_transacciones;periodo_mes
sobretasa a la gasolina;presencial;2020;1;10436206000;8;2020-1-1
transferencias;presencial;2020;1;74785183;2;2020-1-1
transferencias;virtual;2020;1;674425424;25;2020-1-1
alumbrado publico;presencial;2020;2;6105457434;634;2020-2-1
circulacion y transito;presencial;2020;2;4633245600;2658;2020-2-1
circulacion y transito;virtual;2020;2;6251181;106;2020-2-1
cuotas partes jubilatorias;presencial;2020;2;317979059;38;2020-2-1
deguello de ganado;virtual;2020;2;292067100;2;2020-2-1
delineacion urbana;presencial;2020;2;1432163909;288;2020-2-1
delineacion urbana;virtual;2020;2;132085000;8;2020-2-1
espectaculos publicos;presencial;2020;2;61760552;2;2020-2-1
espectaculos publicos;virtual;2020;2;755111448;8;2020-2-1
estampilla procultura;presencial;2020;2;16837450;4;2020-2-1
estampilla procultura;virtual;2020;2;103510995;7;2020-2-1
impuesto predial;presencial;2020;2;2,18129E+11;452358;2020-2-1
impuesto predial;virtual;2020;2;73008953625;44237;2020-2-1
impuesto telefonico;presencial;2020;2;2233625731;45;2020-2-1
impuesto telefonico;virtual;2020;2;1626911;22;2020-2-1
industria y comercio;presencial;2020;2;12090270029;28939;2020-2-1
industria y comercio;virtual;2020;2;13557157616;11209;2020-2-1
ingresos no tributarios;presencial;2020;2;2679708988;629;2020-2-1
ingresos no tributarios;virtual;2020;2;11858593;14;2020-2-1
movilidad;presencial;2020;2;14388714042;62559;2020-2-1
multas codigo de policia;presencial;2020;2;125177404;300;2020-2-1
otros ingresos;presencial;2020;2;653721861;311;2020-2-1
otros ingresos;virtual;2020;2;334382191;136;2020-2-1
publicidad exterior visual;presencial;2020;2;209765993;693;2020-2-1
recursos fonset;presencial;2020;2;4072264000;4;2020-2-1
recursos fonset;virtual;2020;2;1172547562;23;2020-2-1
rendimientos financieros y recursos no ejecutados;presencial;2020;2;721246702;83;2020-2-1
rendimientos financieros y recursos no ejecutados;virtual;2020;2;3247792698;143;2020-2-1
rentas contractuales;presencial;2020;2;3660122363;349;2020-2-1
rentas contractuales;virtual;2020;2;347915713;24;2020-2-1
retencion ica;presencial;2020;2;2048277;5;2020-2-1
retencion ica;virtual;2020;2;28496379;18;2020-2-1
servicios;presencial;2020;2;18653579;2391;2020-2-1
servicios;virtual;2020;2;5400;1;2020-2-1
sobretasa a la gasolina;presencial;2020;2;9214459000;8;2020-2-1
transferencias;presencial;2020;2;1784591789;6;2020-2-1
transferencias;virtual;2020;2;3557083767;50;2020-2-1
alumbrado publico;presencial;2020;3;5887592405;264;2020-3-1
circulacion y transito;presencial;2020;3;6238992097;1900;2020-3-1
circulacion y transito;virtual;2020;3;5327071;85;2020-3-1
cuotas partes jubilatorias;presencial;2020;3;38285004;29;2020-3-1
deguello de ganado;virtual;2020;3;281080800;2;2020-3-1
delineacion urbana;presencial;2020;3;553174505;190;2020-3-1
delineacion urbana;virtual;2020;3;87245000;8;2020-3-1
espectaculos publicos;presencial;2020;3;16046828;3;2020-3-1
espectaculos publicos;virtual;2020;3;356415750;3;2020-3-1
estampilla procultura;presencial;2020;3;1120000;1;2020-3-1
estampilla procultura;virtual;2020;3;155858000;4;2020-3-1
impuesto predial;presencial;2020;3;54634515922;149909;2020-3-1
impuesto predial;virtual;2020;3;50726764084;25366;2020-3-1
impuesto telefonico;presencial;2020;3;1788473854;17;2020-3-1
impuesto telefonico;virtual;2020;3;656121;4;2020-3-1
industria y comercio;presencial;2020;3;55594094979;19961;2020-3-1
industria y comercio;virtual;2020;3;9258306988;8770;2020-3-1
ingresos no tributarios;presencial;2020;3;828703318;399;2020-3-1
ingresos no tributarios;virtual;2020;3;7863688;10;2020-3-1
movilidad;presencial;2020;3;9080777126;42898;2020-3-1
multas codigo de policia;presencial;2020;3;51160645;128;2020-3-1
otros ingresos;presencial;2020;3;2,31454E+11;164;2020-3-1
otros ingresos;virtual;2020;3;874618;1;2020-3-1
publicidad exterior visual;presencial;2020;3;100424778;353;2020-3-1
recursos fonset;presencial;2020;3;3131201000;3;2020-3-1
recursos fonset;virtual;2020;3;2362708000;30;2020-3-1
rendimientos financieros y recursos no ejecutados;presencial;2020;3;2337180760;54;2020-3-1
rendimientos financieros y recursos no ejecutados;virtual;2020;3;3049762563;140;2020-3-1
rentas contractuales;presencial;2020;3;117467946;216;2020-3-1
rentas contractuales;virtual;2020;3;3844561733;39;2020-3-1
retencion ica;presencial;2020;3;2189657765;173;2020-3-1
retencion ica;virtual;2020;3;3859529101;748;2020-3-1
servicios;presencial;2020;3;12188256;1145;2020-3-1
servicios;virtual;2020;3;5600;1;2020-3-1
sobretasa a la gasolina;presencial;2020;3;9446378000;8;2020-3-1
transferencias;presencial;2020;3;1729652580;4;2020-3-1
transferencias;virtual;2020;3;2173467312;38;2020-3-1
alumbrado publico;presencial;2020;4;5621347732;48;2020-4-1
circulacion y transito;presencial;2020;4;2340888941;19;2020-4-1
circulacion y transito;virtual;2020;4;1072000;17;2020-4-1
cuotas partes jubilatorias;presencial;2020;4;116358532;46;2020-4-1
deguello de ganado;virtual;2020;4;281486400;2;2020-4-1
delineacion urbana;presencial;2020;4;117769160;77;2020-4-1
delineacion urbana;virtual;2020;4;11076000;17;2020-4-1
estampilla procultura;presencial;2020;4;40273819;2;2020-4-1
estampilla procultura;virtual;2020;4;196509000;7;2020-4-1
impuesto predial;presencial;2020;4;3792668827;6539;2020-4-1
impuesto predial;virtual;2020;4;3773316740;5499;2020-4-1
impuesto telefonico;presencial;2020;4;2123199614;6;2020-4-1
impuesto telefonico;virtual;2020;4;207420;5;2020-4-1
industria y comercio;presencial;2020;4;553388400;434;2020-4-1
ingresos no tributarios;presencial;2020;4;178850914;61;2020-4-1
ingresos no tributarios;virtual;2020;4;6311112;13;2020-4-1
movilidad;presencial;2020;4;640385137;4350;2020-4-1
multas codigo de policia;presencial;2020;4;936320;2;2020-4-1
otros ingresos;presencial;2020;4;2,74099E+11;80;2020-4-1
otros ingresos;virtual;2020;4;1130636424;1;2020-4-1
publicidad exterior visual;presencial;2020;4;50178472;220;2020-4-1
recursos fonset;presencial;2020;4;338119000;2;2020-4-1
recursos fonset;virtual;2020;4;12166446000;78;2020-4-1
rendimientos financieros y recursos no ejecutados;presencial;2020;4;32839733778;12;2020-4-1
rendimientos financieros y recursos no ejecutados;virtual;2020;4;1762451988;75;2020-4-1
rentas contractuales;presencial;2020;4;17761952;7;2020-4-1
rentas contractuales;virtual;2020;4;3694094192;26;2020-4-1
retencion ica;virtual;2020;4;13286000;10;2020-4-1
servicios;presencial;2020;4;84000;6;2020-4-1
sobretasa a la gasolina;presencial;2020;4;6000582000;8;2020-4-1
transferencias;presencial;2020;4;13444027560;5;2020-4-1
transferencias;virtual;2020;4;2956927369;39;2020-4-1
alumbrado publico;presencial;2020;5;9836152380;164;2020-5-1
alumbrado publico;virtual;2020;5;162810821;1;2020-5-1
circulacion y transito;presencial;2020;5;37505648;95;2020-5-1
circulacion y transito;virtual;2020;5;2651016;74;2020-5-1
cuotas partes jubilatorias;presencial;2020;5;989783139;46;2020-5-1
deguello de ganado;virtual;2020;5;250454100;2;2020-5-1
delineacion urbana;presencial;2020;5;311247708;125;2020-5-1
delineacion urbana;virtual;2020;5;491285000;16;2020-5-1
estampilla procultura;presencial;2020;5;66246396;2;2020-5-1
estampilla procultura;virtual;2020;5;146551000;6;2020-5-1
impuesto predial;presencial;2020;5;16410706781;64098;2020-5-1
impuesto predial;virtual;2020;5;11910643789;19692;2020-5-1
impuesto telefonico;presencial;2020;5;1836909672;6;2020-5-1
impuesto telefonico;virtual;2020;5;141575;6;2020-5-1
industria y comercio;presencial;2020;5;51357222222;1145;2020-5-1
industria y comercio;virtual;2020;5;7037590930;1498;2020-5-1
ingresos no tributarios;presencial;2020;5;252685946;122;2020-5-1
ingresos no tributarios;virtual;2020;5;6383555;14;2020-5-1
movilidad;presencial;2020;5;2880066513;13344;2020-5-1
multas codigo de policia;presencial;2020;5;5106531;19;2020-5-1
otros ingresos;presencial;2020;5;3,58419E+11;108;2020-5-1
otros ingresos;virtual;2020;5;49961580;2;2020-5-1
publicidad exterior visual;presencial;2020;5;42711859;84;2020-5-1
recursos fonset;presencial;2020;5;616565200;3;2020-5-1
recursos fonset;virtual;2020;5;5869161000;28;2020-5-1
rendimientos financieros y recursos no ejecutados;presencial;2020;5;1715756364;24;2020-5-1
rendimientos financieros y recursos no ejecutados;virtual;2020;5;1061559853;110;2020-5-1
rentas contractuales;presencial;2020;5;9175039;7;2020-5-1
rentas contractuales;virtual;2020;5;3693014433;20;2020-5-1
retencion ica;presencial;2020;5;1335969011;96;2020-5-1
retencion ica;virtual;2020;5;3091989297;753;2020-5-1
servicios;presencial;2020;5;2002259;44;2020-5-1
servicios;virtual;2020;5;68600;3;2020-5-1
sobretasa a la gasolina;presencial;2020;5;2698219000;8;2020-5-1
transferencias;presencial;2020;5;70782895;3;2020-5-1
transferencias;virtual;2020;5;2851962642;40;2020-5-1
alumbrado publico;presencial;2020;6;5613326178;429;2020-6-1
alumbrado publico;virtual;2020;6;2769121;1;2020-6-1
circulacion y transito;presencial;2020;6;686720515;1256;2020-6-1
circulacion y transito;virtual;2020;6;9907750;185;2020-6-1
cuotas partes jubilatorias;presencial;2020;6;121626115;35;2020-6-1
deguello de ganado;virtual;2020;6;248262300;2;2020-6-1
delineacion urbana;presencial;2020;6;499643263;166;2020-6-1
delineacion urbana;virtual;2020;6;242921650;17;2020-6-1
estampilla procultura;presencial;2020;6;6698492;2;2020-6-1
estampilla procultura;virtual;2020;6;66656000;6;2020-6-1
impuesto predial;presencial;2020;6;54595019321;262089;2020-6-1
impuesto predial;virtual;2020;6;35811956378;41360;2020-6-1
impuesto telefonico;presencial;2020;6;2137490961;11;2020-6-1
impuesto telefonico;virtual;2020;6;1606731;5;2020-6-1
industria y comercio;presencial;2020;6;14086333349;19411;2020-6-1
industria y comercio;virtual;2020;6;22447380681;10716;2020-6-1
ingresos no tributarios;presencial;2020;6;172526549;145;2020-6-1
ingresos no tributarios;virtual;2020;6;1187360166;27;2020-6-1
movilidad;presencial;2020;6;12692903324;42038;2020-6-1
multas codigo de policia;presencial;2020;6;59022178;143;2020-6-1
otros ingresos;presencial;2020;6;2,33057E+11;74;2020-6-1
otros ingresos;virtual;2020;6;3487683056;11;2020-6-1
publicidad exterior visual;presencial;2020;6;65881275;188;2020-6-1
recursos fonset;presencial;2020;6;112317540;3;2020-6-1
recursos fonset;virtual;2020;6;4638698204;52;2020-6-1
rendimientos financieros y recursos no ejecutados;presencial;2020;6;287862609;41;2020-6-1
rendimientos financieros y recursos no ejecutados;virtual;2020;6;2492281406;189;2020-6-1
rentas contractuales;presencial;2020;6;28987829;12;2020-6-1
rentas contractuales;virtual;2020;6;3786485042;18;2020-6-1
retencion ica;presencial;2020;6;804000;4;2020-6-1
retencion ica;virtual;2020;6;40006440;56;2020-6-1
servicios;presencial;2020;6;2009306;52;2020-6-1
servicios;virtual;2020;6;16600;2;2020-6-1
sobretasa a la gasolina;presencial;2020;6;4926765000;8;2020-6-1
transferencias;presencial;2020;6;13484076986;10;2020-6-1
transferencias;virtual;2020;6;2919446067;38;2020-6-1
alumbrado publico;presencial;2020;7;6035441795;1457;2020-7-1
alumbrado publico;virtual;2020;7;862006;1;2020-7-1
circulacion y transito;presencial;2020;7;13369060968;2704;2020-7-1
circulacion y transito;virtual;2020;7;79105656;1366;2020-7-1
cuotas partes jubilatorias;presencial;2020;7;112956942;49;2020-7-1
deguello de ganado;virtual;2020;7;240563700;2;2020-7-1
delineacion urbana;presencial;2020;7;806020822;170;2020-7-1
delineacion urbana;virtual;2020;7;204387000;17;2020-7-1
estampilla procultura;presencial;2020;7;9196000;1;2020-7-1
estampilla procultura;virtual;2020;7;87723000;6;2020-7-1
impuesto predial;presencial;2020;7;21992321185;72617;2020-7-1
impuesto predial;virtual;2020;7;14611385536;21271;2020-7-1
impuesto telefonico;presencial;2020;7;1014886784;8;2020-7-1
impuesto telefonico;virtual;2020;7;808888375;12;2020-7-1
industria y comercio;presencial;2020;7;55692040258;19968;2020-7-1
industria y comercio;virtual;2020;7;22466346467;13364;2020-7-1
ingresos no tributarios;presencial;2020;7;382879771;174;2020-7-1
ingresos no tributarios;virtual;2020;7;39681163;21;2020-7-1
movilidad;presencial;2020;7;11349321178;38614;2020-7-1
multas codigo de policia;presencial;2020;7;32276725;99;2020-7-1
otros ingresos;presencial;2020;7;1,31392E+11;244;2020-7-1
otros ingresos;virtual;2020;7;7229287;3;2020-7-1
publicidad exterior visual;presencial;2020;7;177733520;491;2020-7-1
recursos fonset;presencial;2020;7;209030544;5;2020-7-1
recursos fonset;virtual;2020;7;5865126000;77;2020-7-1
rendimientos financieros y recursos no ejecutados;presencial;2020;7;73887991;41;2020-7-1
rendimientos financieros y recursos no ejecutados;virtual;2020;7;6476310139;194;2020-7-1
rentas contractuales;presencial;2020;7;24200824;25;2020-7-1
rentas contractuales;virtual;2020;7;3716095315;29;2020-7-1
retencion ica;presencial;2020;7;1408654694;107;2020-7-1
retencion ica;virtual;2020;7;4217825836;829;2020-7-1
servicios;presencial;2020;7;1987393;46;2020-7-1
servicios;virtual;2020;7;212000;4;2020-7-1
sobretasa a la gasolina;presencial;2020;7;6711170000;8;2020-7-1
transferencias;presencial;2020;7;73104012;4;2020-7-1
transferencias;virtual;2020;7;2938840086;38;2020-7-1
alumbrado publico;presencial;2020;8;5858513898;312;2020-8-1
circulacion y transito;presencial;2020;8;3846406031;1057;2020-8-1
circulacion y transito;virtual;2020;8;200377;11;2020-8-1
cuotas partes jubilatorias;presencial;2020;8;143535183;40;2020-8-1
deguello de ganado;virtual;2020;8;264010500;2;2020-8-1
delineacion urbana;presencial;2020;8;698435403;169;2020-8-1
delineacion urbana;virtual;2020;8;92242322;16;2020-8-1
estampilla procultura;presencial;2020;8;7128000;1;2020-8-1
estampilla procultura;virtual;2020;8;89178000;6;2020-8-1
impuesto predial;presencial;2020;8;68770283876;189093;2020-8-1
impuesto predial;virtual;2020;8;22892362046;28265;2020-8-1
impuesto telefonico;presencial;2020;8;2025376503;5;2020-8-1
impuesto telefonico;virtual;2020;8;9640926;22;2020-8-1
industria y comercio;presencial;2020;8;13841764137;20823;2020-8-1
industria y comercio;virtual;2020;8;29173671885;14652;2020-8-1
ingresos no tributarios;presencial;2020;8;485911511;174;2020-8-1
ingresos no tributarios;virtual;2020;8;41510630;36;2020-8-1
